8553,9841,9779,47,6082,5190,9391,3584,7612,1292,9820,1812,5808,3704,1766,2248,1845,498,2921,2933,655,2586,9474,7788,7791,1659,4660,9381,1351,1736,7984,3746,9434,7085,675,3324,4835,5266,340,2786,9805,9751,3304,9253,8315,8731,1984,6359,4318,6944,9482,8984,912,2945,4478,2930,5851,6932,1257,8989,7018,2373,4472,2745,8132,2608,7299,9609,3658,2646,6497,5550,5915,7802,108,7114,9748,1303,53,9580,9473,6949,2511,2819,2675,401,5761,7211,7640,1385,5921,8655,9045,7888,6468,5063,5920,5037,5554,1147,5780,1109,1353,4680,6961,5617,5795,6910,3251,7512,3745,6571,7728,3261,8129,3563,3720,9921,5454,4290,9945,1068,5280,2006,5409,3492,6113,3961,8889,9910,6319,6963,8848,7954,8512,648,3208,2649,8328,3688,7974,5472,7910,1754
97,292,2037,8606,3766,2517,964,7701,7835,6849,7629,4290,6286,2028,1531,3863,2927,4647,7807,4858,1887,3241,2571,5460,7366,929,4290,3375,9545,4082,4122,9980,4822,6748,7641,2165,9625,8863,7381,9689,2150,8361,6491,1408,8928,2085,2973,5775,4293,3250,9713,4472,4176,4061,2849,3572,890,7640,2214,657,653,9246,3564,1837,2524,83,8799,3806,1844,4826,1522,112,5248,9257,8564,806,6655,8844,1832,2587,5615,7433,4730,6473,4890,5940,8921,8904,1284,4910,6521,9365,2662,4645,9179,7187,2520,6086,2167,8761,6064,4536,1346,9850,7530,2681,6017,6757,2136,6463,3096,4084,9921,161,8233,9158,4765,6286,8336,2114,522,1131,7162,7499,4847,4661,5608,6056,6314,4315,8243,5758,6088,4839,4434,5997,4317,3087,5813,6678,6828,6612,811,9787
5963,4702,7997,8577,3466,416,5128,392,1504,1234,9317,1621,6845,7155,8055,6374,9916,5788,1474,703,2917,3665,8731,559,2895,6245,4626,1964,3356,8346,9730,2214,1722,985,1204,5559,5630,1715,2304,2322,1797,9635,6988,419,5094,8761,3387,4075,3026,2865,7396,5724,7039,7528,496,4745,3215,223,9334,7703,5501,4520,9813,8978,6644,5104,2192,2389,5750,2821,2736,1259,1392,1619,9522,5568,6198,570,2406,7194,8318,9552,3255,7392,984,1275,8325,5799,6113,6316,9508,776,1188,3882,9565,2532,4637,8815,6990,2274,6733,9249,6481,4403,1514,7648,4869,6363,1164,6709,5232,3679,2930,5892,4613,1912,949,4272,6604,5296,8356,1421,8491,8479,7424,9437,1816,9245,198,7274,3204,8455,460,84,8840,1048,969,9418,1149,644,2779,9630,9532,5666
4045,326,6219,8348,883,6963,4562,3768,5061,9658,6928,503,9111,9173,4717,1731,2435,8462,2718,6839,7417,8549,4426,3021,2167,1567,7904,3712,3720,6967,1651,8911,7391,4409,1912,4414,4243,8841,5179,2279,8620,1086,929,9170,7772,4699,4500,5181,4727,8781,9904,9476,411,5021,2334,2507,5469,6867,8503,2104,3501,4254,2853,1754,8607,6704,5467,6118,777,7370,2475,8669,5793,929,9443,4636,7658,9106,6944,316,5550,5311,664,2844,9041,8258,4503,2644,4071,5877,292,7258,1147,8668,1989,3964,4560,8876,9394,9241,4083,7857,7433,6462,9727,2802,6394,8262,3439,428,7345,7564,6657,415,4397,9802,6733,2067,4898,3890,3102,5271,4164,5025,2963,8672,5582,7456,6283,4962,3335,5667,2943,5615,1300,4839,6656,10000,2102,4719,2573,1437,6348,5691
3785,5981,9791,6294,6443,9149,9877,1113,731,9887,8151,2293,9018,4954,2325,2624,3539,8079,8436,2866,5294,64,1049,7580,2779,2667,6340,9874,8201,6843,6382,3993,5704,8760,3337,863,8488,2417,5496,3624,7476,5065,5618,6733,6603,5589,4570,9833,4030,1207,3629,6522,7443,9199,3363,6021,8063,5576,4770,3980,9746,5634,4509,5985,3802,3990,9,7606,4802,6690,9448,9713,3650,7233,8330,5504,569,5907,509,4,9389,6860,2580,9633,2986,4228,7266,2165,7262,467,8637,379,1381,4930,1205,8208,2114,888,8048,2893,8924,2129,574,4733,7167,4666,3106,6106,6883,2011,5451,7310,4627,8559,9527,4543,4729,6243,1267,2558,7947,130,6971,971,5912,1403,872,8016,5635,7896,8025,9108,2264,2517,5104,3472,9018,7364,4941,3362,2911,3080,3168,2472
6086,3412,7946,747,2206,2986,9905,2901,5253,137,7391,8428,5808,5347,1823,3090,6452,5428,7821,8185,2869,9551,7314,720,7051,2691,5282,4199,9579,1675,2515,8570,1348,1996,2764,1290,2793,9122,951,5383,6680,7305,8961,1991,292,863,7537,3813,457,4459,9223,298,9255,4111,9254,1010,7277,563,4532,3901,1434,8808,37,856,2622,1464,5611,7420,9099,9513,8499,7757,3374,4856,8353,7749,4219,1679,3083,2813,563,4760,9462,3339,5480,4877,7343,174,1693,3496,4337,5676,829,9341,4979,5044,2459,84,9743,9099,9124,3038,5888,7720,8510,9269,5704,4021,5673,1225,2498,3115,6578,76,2996,8945,8922,1608,9128,5716,6543,7096,5130,6932,5573,1689,6290,2802,4777,4282,6573,7039,8402,6819,9237,605,931,5920,6379,7128,4041,3886,4545,8185
7515,586,9754,982,5219,4994,8873,2080,9787,2212,2458,7809,6190,8306,1179,6313,3649,2980,8592,8055,7006,5177,482,3704,89,8332,8630,478,2878,2407,6853,2987,1071,1974,5307,1995,932,8051,7246,7712,6276,5675,6548,2455,1904,7233,6173,9172,990,9225,6354,7685,6678,6777,8447,4933,2688,4745,1630,2860,7096,2980,3958,8282,195,6062,3428,1392,5564,9055,7453,1290,2503,3172,1108,6918,888,327,8718,8961,6596,2247,8653,8325,3743,2367,2194,8625,2431,4998,3250,5835,5343,9100,6975,1472,4514,8982,1451,5654,2235,9706,9357,559,6309,8054,2458,2421,944,6916,4265,5521,2187,2842,7823,6437,881,4571,1390,5802,6416,1115,7266,9747,173,563,1136,7874,8342,659,9912,5624,2467,6514,2947,7482,8729,7876,6053,952,2211,935,1581,8744
4360,1294,1104,870,6790,3210,2752,2169,9110,3175,8406,5599,2058,7552,918,7132,9005,7886,6296,5751,3275,6157,5140,2708,2141,2052,4718,3191,7619,6413,6202,4389,6614,2712,2210,6477,4725,8830,4331,9974,3446,1641,4503,9788,7707,5642,7808,5265,6728,1557,7617,4595,3951,586,7501,4120,7077,9175,8768,3405,6991,9926,946,2484,7090,641,5059,6630,9126,1425,2325,437,3377,4611,8751,6948,6163,4404,5094,9396,5797,1870,6592,3641,5031,2602,9120,9235,2037,6245,7724,3940,550,9108,3124,2360,7454,9747,6096,1908,6419,6262,7575,4253,1685,6214,3422,7155,6573,1187,7143,488,469,5738,6648,5992,7496,5745,2537,8860,6358,8968,5306,6123,3591,3473,6572,3016,2626,5687,8121,7286,2590,3383,6264,8133,2052,4430,3503,7875,2859,8053,1923,902
2678,1393,4579,7848,2609,164,7739,1111,8035,1067,5886,9112,6982,558,6753,5684,296,5395,7340,2833,7880,6845,5,6314,5845,5846,6552,6881,8386,5047,9981,437,715,4923,344,8965,8632,9778,5379,5938,1273,9631,3162,4637,3249,4193,9600,5744,4331,7836,7578,9685,4615,406,6978,1641,9348,6193,844,1056,9809,7564,6507,6350,2326,7007,2302,1611,7946,1446,2971,4471,2333,8364,1929,3936,5765,2296,9296,1324,7658,8947,6096,5337,4900,5525,0,72,5803,4766,7863,7394,79,3148,1724,6697,3663,1057,4381,6483,2951,844,6633,8711,7845,1540,8825,7938,6515,5803,6609,1086,5740,7246,9319,7256,3133,5854,9806,594,2704,405,8264,9995,6119,918,6310,1139,7164,3317,2433,2043,6274,3230,4915,1022,5213,571,5619,9136,4976,27,3302,1296
7809,5889,2061,6011,5146,5827,691,4496,2722,3102,7909,782,9438,7150,8161,2525,567,1415,4471,3067,9882,4575,2031,6791,2629,5664,5072,1091,1661,4777,5125,3500,3232,1382,589,8856,3973,8298,9023,748,3466,1245,1110,6818,970,6885,8286,2297,7031,5333,474,2077,7978,2561,4709,9629,880,8888,3667,2711,6041,3916,680,4484,1884,3694,4473,9856,8730,5290,9584,3070,2402,7844,2511,2202,1100,793,6674,9686,2845,5765,5699,7018,1428,598,7871,8349,3355,2890,3296,9785,2706,7077,7502,4379,2450,6175,5714,8306,2054,4960,8683,5271,6286,4108,5437,7892,1808,5489,6606,2016,9810,2387,3411,4936,5152,1471,4722,7347,1447,7043,7283,594,2704,474,6367,690,8875,6013,7488,5206,6026,903,2201,6553,8300,4452,4515,3701,3573,8815,4531,8174
